source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA192205_runinfo.csv	SRR5296302	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296303	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296304	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296305	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296306	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR2107331	S_Up_H47_Bp	SRX1101098	RNA_147	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107332	S_Up_H24_E	SRX1101102	RNA_149	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107333	Pl_Wa_H22_E	SRX1101106	RNA_151	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107334	S_Up_H37_E	SRX1101112	RNA_152	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107343	D_Ra_C05_E	SRX1101125	RNA_153	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107328	D_Ra_C06_Bp	SRX1101092	RNA_146	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107130	E_Vi_C58_E	SRX1100881	RNA_141	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
